sample,fastq_1,fastq_2,strandedness
RET72-1-1,RET72-hours/RET72-1-1_R1.fastq.gz,RET72-hours/RET72-1-1_R2.fastq.gz,auto
RET72-1-2,RET72-hours/RET72-1-2_R1.fastq.gz,RET72-hours/RET72-1-2_R2.fastq.gz,auto
RET72-1-3,RET72-hours/RET72-1-3_R1.fastq.gz,RET72-hours/RET72-1-3_R2.fastq.gz,auto
RET72-16-1,RET72-hours/RET72-16-1_R1.fastq.gz,RET72-hours/RET72-16-1_R2.fastq.gz,auto
RET72-16-2,RET72-hours/RET72-16-2_R1.fastq.gz,RET72-hours/RET72-16-2_R2.fastq.gz,auto
RET72-16-3,RET72-hours/RET72-16-3_R1.fastq.gz,RET72-hours/RET72-16-3_R2.fastq.gz,auto
RET72-2-1,RET72-hours/RET72-2-1_R1.fastq.gz,RET72-hours/RET72-2-1_R2.fastq.gz,auto
RET72-2-2,RET72-hours/RET72-2-2_R1.fastq.gz,RET72-hours/RET72-2-2_R2.fastq.gz,auto
RET72-2-3,RET72-hours/RET72-2-3_R1.fastq.gz,RET72-hours/RET72-2-3_R2.fastq.gz,auto
RET72-32-1,RET72-hours/RET72-32-1_R1.fastq.gz,RET72-hours/RET72-32-1_R2.fastq.gz,auto
RET72-32-2,RET72-hours/RET72-32-2_R1.fastq.gz,RET72-hours/RET72-32-2_R2.fastq.gz,auto
RET72-32-3,RET72-hours/RET72-32-3_R1.fastq.gz,RET72-hours/RET72-32-3_R2.fastq.gz,auto
RET72-4-1,RET72-hours/RET72-4-1_R1.fastq.gz,RET72-hours/RET72-4-1_R2.fastq.gz,auto
RET72-4-2,RET72-hours/RET72-4-2_R1.fastq.gz,RET72-hours/RET72-4-2_R2.fastq.gz,auto
RET72-4-3,RET72-hours/RET72-4-3_R1.fastq.gz,RET72-hours/RET72-4-3_R2.fastq.gz,auto
RET72-64-1,RET72-hours/RET72-64-1_R1.fastq.gz,RET72-hours/RET72-64-1_R2.fastq.gz,auto
RET72-64-2,RET72-hours/RET72-64-2_R1.fastq.gz,RET72-hours/RET72-64-2_R2.fastq.gz,auto
RET72-64-3,RET72-hours/RET72-64-3_R1.fastq.gz,RET72-hours/RET72-64-3_R2.fastq.gz,auto
RET72-8-1,RET72-hours/RET72-8-1_R1.fastq.gz,RET72-hours/RET72-8-1_R2.fastq.gz,auto
RET72-8-2,RET72-hours/RET72-8-2_R1.fastq.gz,RET72-hours/RET72-8-2_R2.fastq.gz,auto
RET72-8-3,RET72-hours/RET72-8-3_R1.fastq.gz,RET72-hours/RET72-8-3_R2.fastq.gz,auto
